,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
356,Thomas Monconduit,fr FRA,MFDF,Amiens,33,1991,9,9,778,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,84d94b91
357,Adrien Monfray,fr FRA,DF,Troyes,33,1990,26,26,2334,25.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0d332068
358,Enzo Montet,fr FRA,MF,Stade Laval,21,2003,7,5,460,5.1,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,95ec98f2
359,Romain Montiel,fr FRA,FW,Martigues,29,1995,17,10,763,8.5,2,1,3,2,0,0,1,0,0.24,0.12,0.35,0.24,0.35,Matches,ce1030a9
360,Leandro Morante,fr FRA,DF,Martigues,27,1997,21,15,1404,15.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,9b23912f
361,Alex Moucketou,ga GAB,DF,Caen,23,2000,9,9,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,03b2ae29
362,Louis Moussier,fr FRA,MF,Amiens,18,2006,3,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8928c746
363,Bevic Moussiti-Oko,cg CGO,FW,Martigues,29,1995,26,8,870,9.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,71d10572
364,Loris Mouyokolo,fr FRA,DF,Grenoble Foot,23,2001,25,23,2096,23.3,1,0,1,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matches,96726741
365,Lionel Mpasi,cd COD,GK,Rodez AF,29,1994,20,20,1800,20.0,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,5c6b0637
366,Messy Mubundu,cd COD,MF,Amiens,18,2006,12,2,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6366514d
367,Yvon Mvogo,ch SUI,GK,Lorient,30,1994,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc29b608
368,Joel Mvuka,no NOR,MF,Lorient,21,2002,30,19,1585,17.6,3,0,3,3,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,cc704d9c
369,Isala Mwimba,,DF,Clermont Foot,21,2003,9,6,556,6.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,78325df8
370,Abderahmane N'Daw,mr MTN,FW,Clermont Foot,18,2006,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e0cd627
371,Fabrice N'Sakala,cd COD,DF,Annecy FC,34,1990,24,22,1931,21.5,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,de85e3cc
372,Sohaib Nair,dz ALG,DF,Guingamp,22,2002,27,25,2218,24.6,1,0,1,1,0,0,3,1,0.04,0.00,0.04,0.04,0.04,Matches,05374848
373,Ilyes Najim,fr FRA,MFFW,Caen,21,2002,13,4,461,5.1,2,1,3,2,0,0,0,0,0.39,0.20,0.59,0.39,0.59,Matches,46ae6590
374,Massamba Ndiaye,sn SEN,GK,Clermont Foot,22,2001,20,20,1767,19.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,315fe681
375,Joseph Nduquidi,fr FRA,MF,Metz,19,2004,10,4,417,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f365b837
376,Ranjan Neelakandan,ch SUI,FW,Annecy FC,19,2005,3,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97ce76b1
377,Loïc Nestor,fr FRA,DF,Grenoble Foot,35,1989,3,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb53ee38
378,Oumar Ngom,mr MTN,MF,Pau FC,20,2004,26,16,1497,16.6,2,0,2,2,0,0,2,1,0.12,0.00,0.12,0.12,0.12,Matches,2fd5aca2
379,Ahmad Ngouyamsa,td CHA,DF,Rodez AF,23,2000,18,16,1488,16.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,8413ceb1
380,Yonis Njoh,fr FRA,MF,Pau FC,20,2004,11,2,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9151962
381,Timothée Nkada,fr FRA,FW,Rodez AF,25,1999,31,30,2547,28.3,17,5,22,14,3,4,1,0,0.60,0.18,0.78,0.49,0.67,Matches,80d1adb3
382,Obed Nkambadio,fr FRA,GK,Paris FC,21,2003,34,34,3015,33.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c15e8d9e
383,Joseph Nonge,be BEL,MF,Troyes,19,2005,6,2,197,2.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,23d73767
384,Nachon Nsingi,be BEL,FW,USL Dunkerque,23,2001,4,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a373ffb1
385,Samuel Ntamack,fr FRA,MF,Annecy FC,23,2001,2,2,135,1.5,0,1,1,0,0,0,1,0,0.00,0.67,0.67,0.00,0.67,Matches,1504e009
386,Goteh Ntignee,ca CAN,MF,Annecy FC,22,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3b6e299
387,Emmanuel Ntim,gh GHA,DF,Caen,28,1996,8,6,456,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59045046
388,Johann Obiang,ga GAB,DFMF,Pau FC,31,1993,17,11,967,10.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3512013
389,Junior Olaitan,bj BEN,MFFW,Grenoble Foot,22,2002,24,14,1292,14.4,4,3,7,3,1,1,2,0,0.28,0.21,0.49,0.21,0.42,Matches,481e0606
390,Tuomas Ollila,fi FIN,DF,Paris FC,24,2000,22,10,950,10.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3791693f
391,Oualid Orinel,fr FRA,MF,Martigues,34,1990,13,10,825,9.2,3,1,4,3,0,0,1,0,0.33,0.11,0.44,0.33,0.44,Matches,5ec80d62
