,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
90,Lucas Calegari,br BRA,DF,Famalicão,22,2002,18,17,1489,16.5,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,a564fe91
91,Diogo Calila,mz MOZ,MFDF,Santa Clara,25,1998,31,21,1750,19.4,1,2,3,1,0,0,9,0,0.05,0.10,0.15,0.05,0.15,Matches,32044ced
92,Ibrahima Camará,gn GUI,MFDF,Boavista,25,1999,26,16,1332,14.8,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,922f894e
93,André Candeias,pt POR,FW,Farense,21,2003,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,990b680f
94,Lazar Carević,me MNE,GK,Famalicão,25,1999,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8804949c
95,Zé Carlos,pt POR,DF,Vit. Guimarães,22,2001,7,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8bc1f137
96,Zé Carlos,pt POR,MF,Farense,22,2001,9,8,670,7.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,8bc1f137
97,Zé Carlos,pt POR,DF,Gil Vicente FC,26,1998,31,31,2707,30.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4e2da7f7
98,Álvaro Carreras,es ESP,DF,Benfica,21,2003,32,30,2743,30.5,3,1,4,3,0,0,9,0,0.10,0.03,0.13,0.10,0.13,Matches,33a68b9b
99,João Carvalho,pt POR,FWMF,Estoril,27,1997,28,27,2308,25.6,6,3,9,6,0,0,5,1,0.23,0.12,0.35,0.23,0.35,Matches,36b76751
100,Pedro Carvalho,pt POR,MFDF,Estoril,21,2003,19,6,765,8.5,0,2,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,c59a4359
101,Vitor Carvalho,br BRA,MF,Braga,27,1997,23,18,1501,16.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,adc77724
102,Facundo Cáseres,ar ARG,MF,Gil Vicente FC,23,2001,20,16,1404,15.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,21be17c9
103,Cassiano,br BRA,FW,Casa Pia,35,1989,26,24,1976,22.0,10,2,12,6,4,4,4,0,0.46,0.09,0.55,0.27,0.36,Matches,46fa8966
104,Jesús Castillo,pe PER,MF,Gil Vicente FC,23,2001,15,9,822,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,957ac8ad
105,André Castro,pt POR,MF,Moreirense,36,1988,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37d0048f
106,Cristian Castro,co COL,DF,AVS Futebol,23,2001,32,32,2745,30.5,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,a3f386fc
107,Geny Catamo,mz MOZ,MF,Sporting CP,23,2001,30,20,1911,21.2,5,2,7,5,0,0,3,0,0.24,0.09,0.33,0.24,0.33,Matches,28cb9f21
108,Cauê,br BRA,FW,Gil Vicente FC,21,2002,15,7,667,7.4,1,0,1,1,0,0,3,1,0.13,0.00,0.13,0.13,0.13,Matches,072897aa
109,Cauê,br BRA,FW,Casa Pia,21,2002,12,3,349,3.9,1,0,1,1,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,072897aa
110,César,br BRA,GK,Boavista,32,1992,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f6296b9
111,Kaio César,br BRA,MFFW,Vit. Guimarães,20,2004,17,16,1299,14.4,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches,4e232375
112,Tidjany Chabrol,fr FRA,MFFW,Gil Vicente FC,22,2002,25,13,1046,11.6,1,2,3,1,0,0,4,1,0.09,0.17,0.26,0.09,0.26,Matches,f8d7f03b
113,Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b78e7f06
114,Francisco Chissumba,pt POR,DF,Braga,19,2005,16,16,1429,15.9,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,f49c41d2
115,Till Cissokho,fr FRA,DF,Estrela,24,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e8b5ad37
116,Clayton,br BRA,DF,AVS Futebol,24,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,30afd787
117,Clayton,br BRA,FW,Rio Ave,25,1999,31,31,2707,30.1,14,2,16,11,3,3,13,1,0.47,0.07,0.53,0.37,0.43,Matches,b05870de
118,Diego Collado,es ESP,FWMF,Gil Vicente FC,23,2001,5,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3f62bfc
119,Semeu Commey,gh GHA,DF,Estrela,20,2004,2,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf0ee949
120,Fábio Conceição,pt POR,FWMF,Estrela,23,2001,11,7,680,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6fe4c987
121,Fábio Conceição,pt POR,MF,Rio Ave,23,2001,12,2,423,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,Matches,6fe4c987
122,Leo Cordeiro,br BRA,MF,Estrela,28,1995,27,19,1866,20.7,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,53c0ab99
123,Félix Correia,pt POR,MFFW,Gil Vicente FC,23,2001,33,32,2892,32.1,9,3,12,6,3,3,3,0,0.28,0.09,0.37,0.19,0.28,Matches,c803c92a
124,Alberto costa,pt POR,DF,Vit. Guimarães,20,2003,10,7,675,7.5,0,2,2,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,4d36e5ae
125,Bruno Costa,pt POR,MF,Nacional,27,1997,18,11,919,10.2,2,1,3,1,1,1,0,0,0.20,0.10,0.29,0.10,0.20,Matches,7b4c1f6e
126,Diogo Costa,pt POR,GK,Porto,24,1999,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93fffbcf
127,Gonçalo Costa,pt POR,MFDF,Estoril,24,2000,18,3,509,5.7,2,0,2,2,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,c1edb1d4
128,Hélder Costa,ao ANG,FWMF,Estoril,30,1994,13,8,606,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,f13d02a6
129,João Costa,pt POR,GK,Estrela,28,1996,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00225aae
130,João Costa,pt POR,FW,Santa Clara,24,2000,24,8,728,8.1,3,0,3,3,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,1cd2ca47
131,Michel Costa,br BRA,MF,Estoril,22,2001,10,7,597,6.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,907aafc4
132,Rui Costa,pt POR,FW,Farense,28,1996,15,6,696,7.7,2,1,3,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches,ee43adcd
133,Marco Cruz,pt POR,MF,Vit. Guimarães,20,2004,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a657d6ba
134,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23,2001,25,24,2082,23.1,0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Matches,e9543ec7
135,Augusto Dabo,gw GNB,DF,Boavista,20,2004,13,7,546,6.1,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches,0feb3a1c
136,Samuel Dahl,se SWE,MFDF,Benfica,21,2003,11,6,595,6.6,0,4,4,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,Matches,bbe7d20b
137,Amadou Dante,ml MLI,DFMF,Arouca,23,2000,16,12,1059,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da7f2781
138,Mathias De Amorim,pt POR,MF,Famalicão,19,2004,24,10,1072,11.9,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Matches,3385fdf4
139,Zeno Debast,be BEL,MFDF,Sporting CP,20,2003,31,23,2126,23.6,0,3,3,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,064461b7
140,Depú,ao ANG,FW,Gil Vicente FC,24,2000,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ca4fdab
141,Derick,br BRA,MFDF,Farense,30,1993,23,17,1417,15.7,1,3,4,1,0,0,3,0,0.06,0.19,0.25,0.06,0.25,Matches,cb1580aa
142,Ángel Di María,ar ARG,FWMF,Benfica,36,1988,25,20,1646,18.3,8,5,13,3,5,5,5,0,0.44,0.27,0.71,0.16,0.44,Matches,19cda00b
143,Abdoulay Diaby,ml MLI,FWMF,Boavista,33,1991,12,9,894,9.9,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,23c5db70
144,Matheus Dias,br BRA,MFDF,Nacional,22,2002,26,20,1750,19.4,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,df9a23f6
145,Tiago Dias,pt POR,FW,Casa Pia,26,1998,8,0,71,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b2f12baf
146,Ousmane Diomande,ci CIV,DF,Sporting CP,20,2003,31,29,2521,28.0,2,0,2,2,0,0,7,2,0.07,0.00,0.07,0.07,0.07,Matches,394be156
