,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
446,Giannis Papanikolaou,gr GRE,MF,Rizespor,25,1998,22,20,1585,17.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,27610955
447,Abdülkadir Parmak,tr TUR,MF,Hatayspor,29,1994,26,20,1763,19.6,2,1,3,2,0,0,5,0,0.10,0.05,0.15,0.10,0.15,Matches,ce5a24b9
448,Gabriel Paulista,br BRA,DF,Beşiktaş,33,1990,20,20,1639,18.2,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches,b7ca5c51
449,Pedrinho,br BRA,MF,Konyaspor,27,1996,32,30,2479,27.5,4,3,7,4,0,0,4,0,0.15,0.11,0.25,0.15,0.25,Matches,2ca0d266
450,Rui Pedro,pt POR,MF,Hatayspor,26,1998,21,14,1189,13.2,1,3,4,1,0,0,6,0,0.08,0.23,0.30,0.08,0.30,Matches,7c13c06a
451,Halil Pehlivan,tr TUR,DF,Rizespor,30,1993,6,4,339,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a50ff6b
452,Dimitris Pelkas,gr GRE,MF,Başakşehir,30,1993,11,3,285,3.2,0,2,2,0,0,0,0,1,0.00,0.63,0.63,0.00,0.63,Matches,33bd3dae
453,Oleksandr Petrusenko,ua UKR,MF,Antalyaspor,26,1998,21,12,1059,11.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,376916d3
454,Krzysztof Piątek,pl POL,FW,Başakşehir,29,1995,33,29,2607,29.0,21,2,23,16,5,8,6,1,0.72,0.07,0.79,0.55,0.62,Matches,17f3620a
455,Kamil Piątkowski,pl POL,DF,Kasımpaşa,24,2000,13,12,1102,12.2,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,2cf496fb
456,Onurcan Piri,tr TUR,GK,Kayserispor,29,1994,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0984edd0
457,Kenan Pirić,ba BIH,GK,Antalyaspor,30,1994,30,30,2700,30.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,00b86f5e
458,Achilleas Poungouras,gr GRE,MFDF,Sivasspor,28,1995,19,9,889,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,67d14c2e
459,Louka Prip,dk DEN,MF,Konyaspor,27,1997,21,7,749,8.3,1,2,3,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,Matches,6447d49f
460,Alex Pritchard,eng ENG,MF,Sivasspor,31,1993,20,12,1062,11.8,0,4,4,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,ff9fcd4d
461,George Pușcaș,ro ROU,FW,BB Bodrumspor,28,1996,34,23,1868,20.8,8,1,9,5,3,3,1,0,0.39,0.05,0.43,0.24,0.29,Matches,c23c8e0d
462,Uroš Radaković,rs SRB,DF,Sivasspor,30,1994,29,29,2445,27.2,4,0,4,4,0,0,3,4,0.15,0.00,0.15,0.15,0.15,Matches,ebbd1336
463,Erdal Rakip,mk MKD,MF,Antalyaspor,28,1996,27,25,1913,21.3,1,1,2,1,0,0,10,1,0.05,0.05,0.09,0.05,0.09,Matches,e150254d
464,Milot Rashica,xk KVX,MF,Beşiktaş,28,1996,28,24,2041,22.7,3,5,8,3,0,0,2,0,0.13,0.22,0.35,0.13,0.35,Matches,6c6a3300
465,Richard,br BRA,MF,Alanyaspor,30,1994,32,30,2643,29.4,1,3,4,1,0,0,12,0,0.03,0.10,0.14,0.03,0.14,Matches,e90aa5da
466,Rigoberto Rivas,hn HON,MFDF,Hatayspor,26,1998,17,12,1076,12.0,1,2,3,1,0,0,2,0,0.08,0.17,0.25,0.08,0.25,Matches,85c18ac5
467,Garry Rodrigues,cv CPV,MFFW,Sivasspor,33,1990,27,22,1788,19.9,4,3,7,4,0,0,3,0,0.20,0.15,0.35,0.20,0.35,Matches,149895bf
468,Kévin Rodrigues,pt POR,DFMF,Kasımpaşa,30,1994,28,26,2277,25.3,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,f1bed920
469,José Rodríguez,es ESP,MFDF,Adana Dem.,29,1994,2,2,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55e81c76
470,Rômulo,br BRA,FW,Göztepe,22,2002,29,28,2493,27.7,13,9,22,8,5,6,5,0,0.47,0.32,0.79,0.29,0.61,Matches,03dd053e
471,Serdar Saatçı,tr TUR,DF,Trabzonspor,21,2003,11,5,574,6.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,760fd987
472,Enric Saborit,es ESP,DF,Gaziantep,32,1992,10,8,796,8.8,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,eb5bc3eb
473,Loret Sadiku,al ALB,MF,Kasımpaşa,33,1991,11,6,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec5867a5
474,Ramzi Safouri,il ISR,MF,Antalyaspor,28,1995,28,16,1569,17.4,4,1,5,4,0,1,3,0,0.23,0.06,0.29,0.23,0.29,Matches,dde7068b
475,Görkem Sağlam,de GER,MF,Hatayspor,26,1998,31,27,2381,26.5,4,9,13,3,1,1,9,0,0.15,0.34,0.49,0.11,0.45,Matches,651d9f0a
476,Allan Saint-Maximin,fr FRA,MF,Fenerbahçe,27,1997,20,14,1201,13.3,4,3,7,4,0,0,3,0,0.30,0.22,0.52,0.30,0.52,Matches,2b16cb1a
477,Samuel Sáiz,es ESP,MFFW,Eyüpspor,33,1991,16,7,723,8.0,3,1,4,3,0,0,3,0,0.37,0.12,0.50,0.37,0.50,Matches,13e0eb29
478,Roland Sallai,hu HUN,MFDF,Galatasaray,27,1997,27,18,1727,19.2,2,1,3,2,0,0,10,0,0.10,0.05,0.16,0.10,0.16,Matches,bf075f6b
