,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
22,Oliver Antman,fi FIN,MF,Go Ahead Eagles,22,2001,32,28,2410,26.8,6,15,21,6,0,0,1,0,0.22,0.56,0.78,0.22,0.78,Matches,c63d7d38
23,Anouar El Azzouzi,nl NED,MF,Zwolle,23,2001,33,33,2876,32.0,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches,22a6a4d7
24,Julian Baas,nl NED,MF,Sparta R.,22,2002,13,9,850,9.4,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,7156acb5
25,Youri Baas,nl NED,DF,Ajax,21,2003,23,23,2040,22.7,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,ca002b1a
26,Isaac Babadi,nl NED,MF,PSV,19,2005,8,1,175,1.9,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,52f7e3a7
27,Leandro Bacuna,cw CUW,DFMF,Groningen,32,1991,31,25,2330,25.9,4,3,7,1,3,4,8,0,0.15,0.12,0.27,0.04,0.15,Matches,9dc69d38
28,Thibo Baeten,be BEL,FWMF,Go Ahead Eagles,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f976899a
29,Esmir Bajraktarevic,ba BIH,MF,PSV,19,2005,4,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dff24174
30,Saïd Bakari,km COM,DF,Sparta R.,29,1994,26,24,2144,23.8,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,3a0fbf82
31,Johan Bakayoko,be BEL,FWMF,PSV,21,2003,30,17,1579,17.5,9,1,10,9,0,0,1,0,0.51,0.06,0.57,0.51,0.57,Matches,0caa2fd4
32,Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,33.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12f664ca
33,Max Balard,au AUS,MF,NAC Breda,23,2000,33,33,2937,32.6,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches,dd3c8b64
34,Alex Balboa,gq EQG,MF,Almere City,23,2001,10,4,405,4.5,1,0,1,1,0,0,3,0,0.22,0.00,0.22,0.22,0.22,Matches,6e5c5fc7
35,Théo Barbet,fr FRA,DF,Almere City,23,2001,12,10,863,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,06d51feb
36,Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c2e41cfb
37,Samuel Bastien,cd COD,MF,Fortuna Sittard,27,1996,23,13,1294,14.4,0,2,2,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,ec30b9c8
38,Riechedly Bazoer,cw CUW,DFMF,AZ Alkmaar,27,1996,1,0,3,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da59a197
39,Guus Beaumont,nl NED,MF,Almere City,22,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,992ef4ae
40,Thomas Beelen,nl NED,DF,Feyenoord,23,2001,25,18,1698,18.9,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches,530e7d85
41,Raffael Behounek,at AUT,DF,Willem II,27,1997,31,31,2777,30.9,2,1,3,2,0,0,5,1,0.06,0.03,0.10,0.06,0.10,Matches,7ab66f2d
42,Kristijan Belic,rs SRB,MF,AZ Alkmaar,23,2001,15,6,585,6.5,1,0,1,1,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches,999f20b3
43,Mimeirhel Benita,nl NED,DF,Heracles Almelo,20,2003,29,22,2038,22.6,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,35ccba69
44,Walter Benítez,ar ARG,GK,PSV,31,1993,34,34,3015,33.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a2248b4
45,Mitchell van Bergen,nl NED,MFFW,Twente,24,1999,15,9,798,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b2c9aec
46,Mitchell van Bergen,nl NED,MFFW,Sparta R.,24,1999,14,14,1125,12.5,3,2,5,3,0,0,0,0,0.24,0.16,0.40,0.24,0.40,Matches,0b2c9aec
47,Thom van Bergen,nl NED,FW,Groningen,20,2004,34,29,2470,27.4,5,1,6,5,0,0,3,0,0.18,0.04,0.22,0.18,0.22,Matches,8455a7fa
48,Steven Berghuis,nl NED,FWMF,Ajax,32,1991,26,16,1429,15.9,2,5,7,1,1,2,2,0,0.13,0.31,0.44,0.06,0.38,Matches,713c144a
49,Steven Bergwijn,nl NED,FWMF,Ajax,26,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a29b1131
50,Gijs Besselink,nl NED,MF,Twente,20,2004,13,3,321,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,689b9ef0
51,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5b462baa
52,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53d93280
53,Adrian Blake,eng ENG,MFFW,Utrecht,19,2005,17,2,468,5.2,3,2,5,3,0,0,1,0,0.58,0.38,0.96,0.58,0.96,Matches,d9a21f02
54,Thijmen Blokzijl,nl NED,DF,Groningen,19,2005,28,25,2226,24.7,1,0,1,1,0,0,1,1,0.04,0.00,0.04,0.04,0.04,Matches,c75ad7ab
55,Ofosu Boakye,,FW,Go Ahead Eagles,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6164689
56,Paweł Bochniewicz,pl POL,DF,Heerenveen,28,1996,13,13,1109,12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,9bf068be
57,Jeremy Bokila,cd COD,FW,Willem II,35,1988,29,13,1376,15.3,3,1,4,2,1,1,7,1,0.20,0.07,0.26,0.13,0.20,Matches,9d6e2ee9
58,Ruben van Bommel,nl NED,MFFW,AZ Alkmaar,19,2004,24,17,1491,16.6,3,5,8,3,0,0,4,0,0.18,0.30,0.48,0.18,0.48,Matches,c9314f57
59,Taylor Booth,us USA,MF,Utrecht,23,2001,9,2,259,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1eb05a70
60,Taylor Booth,us USA,MF,Twente,23,2001,6,4,271,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,1eb05a70
61,Olivier Boscagli,fr FRA,DF,PSV,26,1997,30,30,2562,28.5,1,6,7,1,0,0,2,0,0.04,0.21,0.25,0.04,0.25,Matches,403f5d20
62,Jesse Bosch,nl NED,MF,Willem II,24,2000,33,32,2713,30.1,6,0,6,6,0,0,7,0,0.20,0.00,0.20,0.20,0.20,Matches,d2f169dd
63,Sven Bouland,nl NED,DF,Groningen,,,2,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea08d458
64,Rayane Bounida,be BEL,MF,Ajax,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40323b50
65,Can Bozdogan,de GER,MF,Utrecht,23,2001,9,4,402,4.5,1,1,2,1,0,0,2,0,0.22,0.22,0.45,0.22,0.45,Matches,b797f558
66,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b74a2c78
